epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.736,1.20054,1.68849,1.46734,0.83473,0.63514,0.75023,0.44222,1.34874,2.34357,1.76798,0.000657277,0.000657277,0.000657277
2,209.909,1.25984,1.41757,1.47315,0.66705,0.67066,0.71685,0.43223,1.35985,2.66339,1.8568,0.00131084,0.00131084,0.00131084
3,310.716,1.34027,1.45739,1.5519,0.75002,0.65868,0.75595,0.43306,1.38672,1.77142,1.81642,0.0019512,0.0019512,0.0019512
4,417.115,1.26634,1.30219,1.51149,0.8668,0.75449,0.84708,0.4792,1.45458,1.568,1.98393,0.0019406,0.0019406,0.0019406
5,519.034,1.31862,1.24898,1.52458,0.92147,0.80838,0.86289,0.54871,1.29195,1.30989,1.70374,0.0019208,0.0019208,0.0019208
6,620.672,1.31142,1.14994,1.5215,0.86276,0.75289,0.86297,0.49626,1.41437,1.72146,1.80022,0.001901,0.001901,0.001901
7,720.938,1.25369,1.06802,1.45117,0.93906,0.76647,0.89187,0.55558,1.24905,1.1113,1.63018,0.0018812,0.0018812,0.0018812
8,821.282,1.23582,1.04122,1.46205,0.92809,0.78443,0.91245,0.59405,1.18391,0.98457,1.56802,0.0018614,0.0018614,0.0018614
9,921.663,1.20394,1.01006,1.41037,0.85517,0.77246,0.86536,0.54558,1.25246,1.07693,1.61756,0.0018416,0.0018416,0.0018416
10,1022.49,1.20744,0.9973,1.42335,0.71189,0.7006,0.75201,0.31738,1.873,1.45573,2.2148,0.0018218,0.0018218,0.0018218
11,1122.9,1.15974,0.9394,1.41259,0.9539,0.86741,0.95482,0.68861,1.02546,0.7876,1.42184,0.001802,0.001802,0.001802
12,1223.26,1.11925,0.92583,1.38202,0.93975,0.93413,0.98114,0.71809,0.93096,0.74153,1.32148,0.0017822,0.0017822,0.0017822
13,1323.72,1.08262,0.87428,1.36891,0.89873,0.90345,0.95228,0.70169,0.99111,0.73663,1.35554,0.0017624,0.0017624,0.0017624
14,1423.93,1.08533,0.86563,1.34799,0.95029,0.88623,0.96462,0.73834,0.88403,0.63374,1.27646,0.0017426,0.0017426,0.0017426
15,1524.75,1.08776,0.817,1.33545,0.87438,0.95868,0.96895,0.69648,0.94496,0.66391,1.33461,0.0017228,0.0017228,0.0017228
16,1625.15,1.08002,0.80091,1.32739,0.89083,0.97726,0.9858,0.68573,1.06699,0.67259,1.38081,0.001703,0.001703,0.001703
17,1725.69,1.03869,0.77879,1.3013,0.9473,0.86108,0.96739,0.74636,0.8562,0.64335,1.23857,0.0016832,0.0016832,0.0016832
18,1826.18,1.0287,0.78549,1.32369,0.96889,0.9521,0.98581,0.7574,0.85656,0.56664,1.24332,0.0016634,0.0016634,0.0016634
19,1926.4,0.98713,0.7358,1.28428,0.93239,0.8982,0.96485,0.70391,0.96455,0.70413,1.3465,0.0016436,0.0016436,0.0016436
20,2026.44,1.01076,0.74796,1.2874,0.9223,0.92402,0.97783,0.74772,0.85261,0.62057,1.24041,0.0016238,0.0016238,0.0016238
21,2126.63,0.99624,0.74595,1.28801,0.90819,0.93413,0.97355,0.60586,1.31564,0.6563,1.5906,0.001604,0.001604,0.001604
22,2226.8,0.96911,0.69697,1.24674,0.90967,0.94611,0.98034,0.77298,0.79435,0.56074,1.19991,0.0015842,0.0015842,0.0015842
23,2326.87,0.95835,0.70612,1.25078,0.92443,0.9521,0.98364,0.74889,0.87543,0.55611,1.24732,0.0015644,0.0015644,0.0015644
24,2430.62,0.98794,0.7447,1.28879,0.9411,0.93413,0.98162,0.77244,0.82702,0.55963,1.20404,0.0015446,0.0015446,0.0015446
25,2540.08,0.91909,0.69301,1.22285,0.94919,0.8949,0.97924,0.7848,0.77055,0.53321,1.16991,0.0015248,0.0015248,0.0015248
26,2678.32,0.93637,0.70638,1.25658,0.93663,0.97359,0.99006,0.79011,0.76273,0.47285,1.15198,0.001505,0.001505,0.001505
27,2816.76,0.93559,0.66632,1.24022,0.9668,0.92814,0.98944,0.77329,0.80859,0.53776,1.19366,0.0014852,0.0014852,0.0014852
28,2952.88,0.9427,0.70018,1.24358,0.95931,0.99401,0.99276,0.81833,0.7446,0.47272,1.1417,0.0014654,0.0014654,0.0014654
29,3088.6,0.89666,0.6615,1.2087,0.95361,0.98465,0.99086,0.78375,0.76965,0.48895,1.16645,0.0014456,0.0014456,0.0014456
30,3225.23,0.90633,0.6698,1.23617,0.91723,0.97006,0.97984,0.76242,0.799,0.53293,1.19705,0.0014258,0.0014258,0.0014258
